id,gid,x,y,v_x,v_y,radius,time
0,0,-8.970701,-1.000384,0.292990,-0.003841,0.750000,0.100000
1,0,-8.899987,1.000139,1.000127,0.001387,0.750000,0.100000
2,1,-0.107535,-0.007536,-1.075350,-0.075359,0.750000,0.100000
0,0,-8.887842,-0.994620,0.828589,0.057641,0.750000,0.200000
1,0,-8.769881,1.011496,1.301065,0.113572,0.750000,0.200000
2,1,-0.199457,-0.008399,-0.919223,-0.008635,0.750000,0.200000
0,0,-8.784673,-0.989279,1.031689,0.053406,0.750000,0.300000
1,0,-8.624623,1.028107,1.452579,0.166112,0.750000,0.300000
2,1,-0.295003,-0.011032,-0.955452,-0.026325,0.750000,0.300000
0,0,-8.687578,-0.990043,0.970952,-0.007638,0.750000,0.400000
1,0,-8.478851,1.050947,1.457721,0.228401,0.750000,0.400000
2,1,-0.387373,-0.012185,-0.923705,-0.011534,0.750000,0.400000
0,0,-8.562983,-0.989482,1.245949,0.005610,0.750000,0.500000
1,0,-8.325124,1.060338,1.537273,0.093911,0.750000,0.500000
2,1,-0.483185,-0.012469,-0.958118,-0.002838,0.750000,0.500000
0,0,-8.411785,-0.981192,1.511984,0.082900,0.750000,0.600000
1,0,-8.174222,1.068873,1.509011,0.085345,0.750000,0.600000
2,1,-0.602199,-0.008137,-1.190141,0.043323,0.750000,0.600000
0,0,-8.266601,-0.982757,1.451834,-0.015646,0.750000,0.700000
1,0,-8.029343,1.088813,1.448794,0.199397,0.750000,0.700000
2,1,-0.742023,0.004242,-1.398238,0.123785,0.750000,0.700000
0,0,-8.146557,-0.986345,1.200442,-0.035885,0.750000,0.800000
1,0,-7.900615,1.094034,1.287279,0.052214,0.750000,0.800000
2,1,-0.896277,0.022111,-1.542542,0.178696,0.750000,0.800000
0,0,-8.022387,-0.983146,1.241699,0.031993,0.750000,0.900000
1,0,-7.780840,1.096681,1.197754,0.026469,0.750000,0.900000
2,1,-1.041250,0.034891,-1.449731,0.127801,0.750000,0.900000
0,0,-7.901225,-0.980777,1.211622,0.023689,0.750000,1.000000
1,0,-7.643117,1.098841,1.377225,0.021601,0.750000,1.000000
2,1,-1.171531,0.010932,-1.302814,-0.239597,0.750000,1.000000
0,0,-7.754759,-0.986770,1.464659,-0.059930,0.750000,1.100000
1,0,-7.491277,1.108160,1.518396,0.093187,0.750000,1.100000
2,1,-1.293470,-0.022090,-1.219383,-0.330221,0.750000,1.100000
0,0,-7.626133,-0.977911,1.286261,0.088590,0.750000,1.200000
1,0,-7.371443,1.108131,1.198348,-0.000285,0.750000,1.200000
2,1,-1.428366,-0.043152,-1.348967,-0.210613,0.750000,1.200000
0,0,-7.515544,-0.978784,1.105887,-0.008734,0.750000,1.300000
1,0,-7.257100,1.116627,1.143422,0.084958,0.750000,1.300000
2,1,-1.544710,-0.039673,-1.163434,0.034787,0.750000,1.300000
0,0,-7.391481,-0.987621,1.240632,-0.088363,0.750000,1.400000
1,0,-7.137170,1.122600,1.199303,0.059728,0.750000,1.400000
2,1,-1.667738,-0.037486,-1.230280,0.021875,0.750000,1.400000
0,0,-7.248361,-0.996332,1.431202,-0.087116,0.750000,1.500000
1,0,-6.997110,1.115484,1.400599,-0.071156,0.750000,1.500000
2,1,-1.808993,-0.035772,-1.412547,0.017140,0.750000,1.500000
0,0,-7.122163,-0.997988,1.261975,-0.016558,0.750000,1.600000
1,0,-6.840695,1.110768,1.564149,-0.047160,0.750000,1.600000
2,1,-1.950604,-0.032232,-1.416115,0.035392,0.750000,1.600000
0,0,-7.001230,-1.006985,1.209336,-0.089967,0.750000,1.700000
1,0,-6.696293,1.108520,1.444020,-0.022486,0.750000,1.700000
2,1,-2.087592,-0.033595,-1.369874,-0.013632,0.750000,1.700000
0,0,-6.882917,-0.998914,1.183131,0.080707,0.750000,1.800000
1,0,-6.552800,1.149677,1.434934,0.411571,0.750000,1.800000
2,1,-2.213704,-0.059179,-1.261120,-0.255834,0.750000,1.800000
0,0,-6.763148,-1.056835,1.197690,-0.579206,0.750000,1.900000
1,0,-6.418777,1.162406,1.340233,0.127291,0.750000,1.900000
2,1,-2.345399,-0.059955,-1.316956,-0.007758,0.750000,1.900000
0,0,-6.652967,-1.103087,1.101803,-0.462519,0.750000,2.000000
1,0,-6.282397,1.188633,1.363794,0.262273,0.750000,2.000000
2,1,-2.492944,-0.081868,-1.475444,-0.219134,0.750000,2.000000
0,0,-6.512017,-1.162475,1.409499,-0.593886,0.750000,2.100000
1,0,-6.147016,1.216589,1.353814,0.279557,0.750000,2.100000
2,1,-2.628712,-0.083022,-1.357689,-0.011543,0.750000,2.100000
0,0,-6.371011,-1.200069,1.410064,-0.375934,0.750000,2.200000
1,0,-6.025618,1.236222,1.213978,0.196329,0.750000,2.200000
2,1,-2.746072,-0.089898,-1.173592,-0.068752,0.750000,2.200000
0,0,-6.249398,-1.252717,1.216129,-0.526483,0.750000,2.300000
1,0,-5.920367,1.254843,1.052516,0.186216,0.750000,2.300000
2,1,-2.851568,-0.083816,-1.054966,0.060812,0.750000,2.300000
0,0,-6.136909,-1.288463,1.124891,-0.357461,0.750000,2.400000
1,0,-5.811854,1.277388,1.085127,0.225450,0.750000,2.400000
2,1,-2.978558,-0.083172,-1.269898,0.006442,0.750000,2.400000
0,0,-6.007035,-1.325327,1.298740,-0.368640,0.750000,2.500000
1,0,-5.706608,1.304085,1.052463,0.266960,0.750000,2.500000
2,1,-3.119613,-0.090967,-1.410546,-0.077949,0.750000,2.500000
0,0,-5.871577,-1.374971,1.354579,-0.496438,0.750000,2.600000
1,0,-5.599485,1.329346,1.071228,0.252615,0.750000,2.600000
2,1,-3.259613,-0.092169,-1.400002,-0.012024,0.750000,2.600000
0,0,-5.744488,-1.412123,1.270894,-0.371518,0.750000,2.700000
