id,gid,x,y,v_x,v_y,radius,time
0,0,7.981367,-0.000034,-0.186333,-0.000337,0.500000,0.100000
1,1,5.578403,5.579368,-0.784470,-0.774822,0.500000,0.100000
2,2,0.005072,7.893217,0.050720,-1.067827,0.500000,0.100000
3,3,-5.594392,5.607716,0.624584,-0.491344,0.500000,0.100000
4,4,-7.920086,-0.000698,0.799141,-0.006976,0.500000,0.100000
5,5,-5.613017,-5.606137,0.438332,0.507233,0.500000,0.100000
6,6,0.004307,-7.947710,0.043069,0.522900,0.500000,0.100000
7,7,5.590374,-5.590341,-0.664856,0.665088,0.500000,0.100000
0,0,7.872661,-0.006255,-1.087056,-0.062211,0.500000,0.200000
1,1,5.490515,5.494730,-0.878881,-0.846379,0.500000,0.200000
2,2,0.007470,7.774659,0.023986,-1.185584,0.500000,0.200000
3,3,-5.507401,5.526304,0.869902,-0.814113,0.500000,0.200000
4,4,-7.818662,-0.005430,1.014236,-0.047320,0.500000,0.200000
5,5,-5.569399,-5.554283,0.436177,0.518541,0.500000,0.200000
6,6,0.001151,-7.840351,-0.031556,1.073587,0.500000,0.200000
7,7,5.500643,-5.510939,-0.897313,0.794019,0.500000,0.200000
0,0,7.747404,-0.026540,-1.252575,-0.202850,0.500000,0.300000
1,1,5.406947,5.406458,-0.835682,-0.882715,0.500000,0.300000
2,2,0.011931,7.647728,0.044605,-1.269313,0.500000,0.300000
3,3,-5.424858,5.457127,0.825434,-0.691770,0.500000,0.300000
4,4,-7.724539,-0.008986,0.941230,-0.035554,0.500000,0.300000
5,5,-5.497957,-5.466859,0.714424,0.874232,0.500000,0.300000
6,6,-0.009898,-7.708463,-0.110498,1.318885,0.500000,0.300000
7,7,5.411224,-5.440972,-0.894190,0.699669,0.500000,0.300000
0,0,7.602508,-0.043136,-1.448954,-0.165962,0.500000,0.400000
1,1,5.310378,5.317242,-0.965691,-0.892162,0.500000,0.400000
2,2,-0.007838,7.508495,-0.197683,-1.392329,0.500000,0.400000
3,3,-5.330686,5.365213,0.941718,-0.919147,0.500000,0.400000
4,4,-7.614908,-0.008406,1.096310,0.005796,0.500000,0.400000
5,5,-5.410253,-5.382668,0.877039,0.841915,0.500000,0.400000
6,6,-0.010775,-7.566856,-0.008770,1.416070,0.500000,0.400000
7,7,5.318073,-5.377910,-0.931515,0.630628,0.500000,0.400000
0,0,7.458480,-0.062248,-1.440287,-0.191120,0.500000,0.500000
1,1,5.220481,5.244289,-0.898965,-0.729530,0.500000,0.500000
2,2,-0.023422,7.366546,-0.155848,-1.419488,0.500000,0.500000
3,3,-5.231289,5.280813,0.993975,-0.843994,0.500000,0.500000
4,4,-7.490087,-0.013316,1.248209,-0.049098,0.500000,0.500000
5,5,-5.310517,-5.280625,0.997361,1.020431,0.500000,0.500000
6,6,-0.012294,-7.426079,-0.015181,1.407764,0.500000,0.500000
7,7,5.237395,-5.311329,-0.806774,0.665806,0.500000,0.500000
0,0,7.322837,-0.065261,-1.356427,-0.030134,0.500000,0.600000
1,1,5.129190,5.166098,-0.912907,-0.781908,0.500000,0.600000
2,2,-0.052031,7.231918,-0.286089,-1.346277,0.500000,0.600000
3,3,-5.126346,5.187029,1.049426,-0.937843,0.500000,0.600000
4,4,-7.354767,-0.029681,1.353206,-0.163656,0.500000,0.600000
5,5,-5.237686,-5.171459,0.728303,1.091659,0.500000,0.600000
6,6,-0.006421,-7.288919,0.058728,1.371602,0.500000,0.600000
7,7,5.162337,-5.235448,-0.750579,0.758812,0.500000,0.600000
0,0,7.163749,-0.056652,-1.590877,0.086096,0.500000,0.700000
1,1,5.042912,5.087529,-0.862780,-0.785694,0.500000,0.700000
2,2,-0.049127,7.108238,0.029038,-1.236806,0.500000,0.700000
3,3,-5.041351,5.077475,0.849948,-1.095543,0.500000,0.700000
4,4,-7.237694,-0.037564,1.170729,-0.078824,0.500000,0.700000
5,5,-5.155294,-5.087947,0.823919,0.835124,0.500000,0.700000
6,6,-0.003824,-7.160944,0.025966,1.279750,0.500000,0.700000
7,7,5.079846,-5.138193,-0.824915,0.972553,0.500000,0.700000
0,0,7.042239,-0.043935,-1.215097,0.127173,0.500000,0.800000
1,1,4.972178,5.001298,-0.707344,-0.862310,0.500000,0.800000
2,2,-0.070351,6.991597,-0.212238,-1.166408,0.500000,0.800000
3,3,-4.964825,4.969497,0.765267,-1.079773,0.500000,0.800000
4,4,-7.104306,-0.049550,1.333883,-0.119866,0.500000,0.800000
5,5,-5.056536,-4.995514,0.987584,0.924329,0.500000,0.800000
6,6,-0.003503,-7.040301,0.003209,1.206429,0.500000,0.800000
7,7,5.005332,-5.041508,-0.745142,0.966845,0.500000,0.800000
0,0,6.909867,-0.031817,-1.323720,0.121173,0.500000,0.900000
1,1,4.890538,4.916526,-0.816403,-0.847724,0.500000,0.900000
2,2,-0.077808,6.863415,-0.074570,-1.281816,0.500000,0.900000
3,3,-4.883850,4.879824,0.809748,-0.896735,0.500000,0.900000
4,4,-6.978237,-0.064052,1.260683,-0.145017,0.500000,0.900000
5,5,-4.955788,-4.897228,1.007484,0.982859,0.500000,0.900000
6,6,-0.005078,-6.915867,-0.015748,1.244342,0.500000,0.900000
7,7,4.908297,-4.964342,-0.970343,0.771662,0.500000,0.900000
0,0,6.781235,-0.028549,-1.286321,0.032685,0.500000,1.000000
1,1,4.801443,4.835040,-0.890945,-0.814857,0.500000,1.000000
2,2,-0.085817,6.734730,-0.080085,-1.286856,0.500000,1.000000
3,3,-4.798225,4.809424,0.856244,-0.704002,0.500000,1.000000
4,4,-6.870860,-0.065838,1.073773,-0.017862,0.500000,1.000000
5,5,-4.855316,-4.791999,1.004714,1.052291,0.500000,1.000000
6,6,-0.005485,-6.783166,-0.004073,1.327006,0.500000,1.000000
7,7,4.817947,-4.874352,-0.903504,0.899900,0.500000,1.000000
