id,gid,x,y,v_x,v_y,radius,time
0,0,10.145883,0.337407,-0.202174,-0.176970,0.200000,0.100000
1,0,12.495239,0.602025,-0.531612,0.104983,0.200000,0.100000
2,0,7.255374,-0.132537,-0.666661,-0.105565,0.200000,0.100000
3,0,6.732840,-0.833891,-0.716999,0.064874,0.200000,0.100000
4,0,8.755265,0.727813,-0.797854,0.278008,0.200000,0.100000
5,0,5.224859,0.513434,0.011993,-0.211689,0.200000,0.100000
6,0,13.661462,-1.046540,-0.340375,0.032895,0.200000,0.100000
7,0,10.836082,-0.194798,-0.239183,-0.249533,0.200000,0.100000
8,0,13.281702,-0.539221,-0.311980,-0.017800,0.200000,0.100000
9,0,8.019804,-0.239092,-0.097464,-0.184678,0.200000,0.100000
10,0,6.823597,0.215701,-0.397030,-0.038367,0.200000,0.100000
11,0,14.754450,-0.690560,-0.064500,0.006877,0.200000,0.100000
12,0,13.391174,0.619373,-0.187262,0.238688,0.200000,0.100000
13,0,8.527372,0.115827,0.010716,-0.159594,0.200000,0.100000
27,1,5.170628,1.221783,0.036084,-0.014470,0.200000,0.100000
28,1,4.802834,3.001189,-0.067162,-0.215806,0.200000,0.100000
29,1,4.809442,0.653828,-0.030282,-0.552261,0.200000,0.100000
30,1,7.562713,3.359083,-0.404168,-0.878071,0.200000,0.100000
31,1,7.271920,-4.412215,-0.038897,-0.672653,0.200000,0.100000
32,1,5.652714,2.192224,0.079842,-0.474356,0.200000,0.100000
33,1,7.984084,5.289022,0.067642,-0.750883,0.200000,0.100000
34,1,4.943944,6.576397,0.168240,-0.599027,0.200000,0.100000
35,1,9.187194,3.786592,0.028644,0.019122,0.200000,0.100000
36,1,6.200883,4.136492,0.043925,-0.718277,0.200000,0.100000
37,1,8.556278,3.840661,0.035583,-0.219692,0.200000,0.100000
38,1,9.162552,4.609643,0.212420,-0.222175,0.200000,0.100000
39,1,6.804947,8.812146,0.060373,-0.563538,0.200000,0.100000
0,0,10.074977,0.337247,-0.709054,-0.001602,0.200000,0.200000
1,0,12.434068,0.612963,-0.611708,0.109379,0.200000,0.200000
2,0,7.190269,-0.147498,-0.651050,-0.149604,0.200000,0.200000
3,0,6.600111,-0.822015,-1.327291,0.118752,0.200000,0.200000
